"make","model","price.usd","year","condition","mileage.km","fuel","volume.l","color","transmission","drive"
"citroen","berlingo",1590,1998,"with mileage",177000,"petrol",1.8,"blue","mechanics","front-wheel drive"
"citroen","xantia",990,1999,"with mileage",465000,"diesel",1.9,"green","mechanics","front-wheel drive"
"mercedes-benz","s-klass",6000,1998,"with mileage",308450,"petrol",5,"blue","auto","rear drive"
"citroen","xsara",2000,2000,"with mileage",350000,"diesel",1.9,"green","mechanics","front-wheel drive"
"mercedes-benz","e-klass",2700,1994,"with mileage",250000,"diesel",2,"white","mechanics","rear drive"
"infiniti","qx56",10463,2005,"with mileage",95087,"petrol",5.552,"black","auto","part-time four-wheel drive"
"volkswagen","passat",500,1989,"for parts",350000,"petrol",1.8,"red","mechanics","front-wheel drive"
"peugeot","605",2000,1992,"with mileage",60000,"petrol",2,"other","mechanics","front-wheel drive"
"skoda","octavia",7600,2010,"with mileage",140000,"petrol",1.4,"gray","auto","front-wheel drive"
"volvo","v40",2500,1998,"with mileage",297000,"diesel",1.9,"red","mechanics","front-wheel drive"
"citroen","xantia",300,1996,"for parts",250000,"diesel",2.1,"green","mechanics","front-wheel drive"
"renault","laguna",3900,2001,"with mileage",328000,"diesel",1.899,"blue","mechanics","front-wheel drive"
"ford","fiesta",1300,1996,"with mileage",189000,"petrol",1.25,"green","mechanics","front-wheel drive"
"bmw","x5",12900,2006,"with mileage",300000,"diesel",3,"gray","auto","all-wheel drive"
"bmw","5-seriya",4600,1999,"with mileage",274000,"petrol",2.5,"black","auto","rear drive"
"mercedes-benz","e-klass",1500,1988,"with mileage",310000,"petrol",2.6,"silver","auto","rear drive"
"ford","mondeo",5800,2007,"with mileage",293000,"diesel",1.8,"black","mechanics","front-wheel drive"
"opel","signum",6850,2007,"with mileage",256000,"diesel",1.9,"silver","mechanics","front-wheel drive"
"bmw","5-seriya",6990,2002,"with mileage",235000,"petrol",2.5,"silver","auto","rear drive"
"nissan","primera",850,2000,"with mileage",260000,"diesel",2,"silver","mechanics","front-wheel drive"
"opel","zafira",5950,2003,"with mileage",270000,"diesel",2.2,"blue","mechanics",""
"volkswagen","transporter",7200,2004,"with mileage",550000,"diesel",1.9,"other","mechanics","front-wheel drive"
"opel","corsa",3100,2003,"with mileage",235000,"petrol",1.2,"black","mechanics","front-wheel drive"
"fiat","bravo",1500,1997,"with mileage",229000,"petrol",1.4,"green","mechanics","front-wheel drive"
"mitsubishi","lancer",8700,2014,"with mileage",126000,"petrol",1.6,"red","mechanics","front-wheel drive"
"mini","clubman",8950,2008,"with mileage",180000,"petrol",1.6,"brown","auto","front-wheel drive"
"subaru","impreza",13800,2006,"with mileage",217260.9,"petrol",2.5,"black","mechanics","all-wheel drive"
"lada-vaz","2107",850,1997,"with mileage",150000,"petrol",1.5,"red","mechanics",""
"hyundai","santa-fe",15999,2010,"with mileage",140000,"diesel",2.2,"black","auto","part-time four-wheel drive"
"opel","vectra",4600,2003,"with mileage",353,"diesel",2.171,"blue","mechanics","front-wheel drive"
"audi","100",2500,1990,"with mileage",0,"petrol",2.2,"blue","mechanics","all-wheel drive"
"hyundai","santa-fe",5250,2001,"with mileage",350000,"diesel",2,"silver","mechanics","front-wheel drive"
"volvo","s60",11200,2010,"with mileage",182000,"petrol",2,"silver","auto","front-wheel drive"
"chevrolet","equinox",17850,2018,"with mileage",22000,"petrol",1.5,"white","auto","part-time four-wheel drive"
"subaru","outback",8800,2008,"with mileage",260000,"petrol",2.5,"brown","auto","all-wheel drive"
"audi","a6",4250,2000,"with mileage",330000,"diesel",2.5,"green","auto","front-wheel drive"
"volkswagen","touareg",11490,2007,"with mileage",240000,"diesel",2.5,"black","auto","all-wheel drive"
"daewoo","espero",1350,1996,"with mileage",240,"petrol",1.8,"silver","mechanics","front-wheel drive"
"rover","400",1900,1999,"with mileage",300000,"petrol",1.6,"green","mechanics","front-wheel drive"
"mercedes-benz","e-klass",3500,1999,"with mileage",440000,"diesel",2,"other","auto","rear drive"
"renault","espace",5400,2003,"with mileage",360000,"diesel",1.9,"black","mechanics","front-wheel drive"
"volkswagen","transporter",5850,1997,"with mileage",464000,"diesel",2.5,"green","mechanics","front-wheel drive"
"citroen","xantia",1950,1999,"with mileage",264000,"petrol",1.8,"silver","mechanics","front-wheel drive"
"lexus","ls",18000,2007,"with mileage",34000,"petrol",4.6,"black","auto","rear drive"
"lexus","es",32500,2015,"with mileage",55000,"petrol",2.5,"white","auto","front-wheel drive"
"porsche","cayenne",12300,2006,"with mileage",258791,"petrol",4.5,"blue","auto",""
"opel","vectra",1900,1998,"with mileage",332711,"petrol",1.6,"green","mechanics","front-wheel drive"
"bmw","5-seriya",10300,2007,"with mileage",247000,"petrol",3,"blue","mechanics","rear drive"
"volkswagen","passat",2790,1995,"with mileage",320000,"petrol",2.8,"black","auto","front-wheel drive"
"ford","focus",4950,2007,"with mileage",350000,"diesel",1.8,"black","mechanics","front-wheel drive"
"renault","19",1000,1993,"with mileage",360000,"petrol",1.7,"gray","mechanics","front-wheel drive"
"peugeot","607",3800,2000,"with mileage",333222,"diesel",2.2,"blue","auto","front-wheel drive"
"bmw","x5",12000,2002,"with mileage",250000,"petrol",3,"black","auto","all-wheel drive"
"volkswagen","golf",1100,1989,"with mileage",290000,"petrol",1.3,"white","mechanics","front-wheel drive"
"opel","vectra",2720,2001,"with mileage",348000,"diesel",2.2,"silver","mechanics","front-wheel drive"
"volkswagen","touareg",8000,2003,"with mileage",240000,"petrol",4.2,"green","auto","part-time four-wheel drive"
"land-rover","range-rover",8600,2003,"with mileage",297000,"diesel",3,"black","auto","all-wheel drive"
"volkswagen","golf",5550,2006,"with mileage",315000,"diesel",2,"white","mechanics","front-wheel drive"
"mitsubishi","space-gear",4000,1995,"with mileage",400000,"diesel",2.5,"silver","mechanics","rear drive"
"bmw","3-seriya",1001,1985,"with mileage",280000,"petrol",1.8,"white","mechanics","rear drive"
"renault","grand-scenic",7900,2010,"with mileage",240000,"diesel",1.5,"black","mechanics","front-wheel drive"
"audi","100",2800,1993,"with mileage",410000,"petrol",2.8,"burgundy","auto","all-wheel drive"
"volkswagen","golf",6200,2007,"with mileage",401000,"diesel",2,"black","mechanics","front-wheel drive"
"mazda","6",8700,2008,"with mileage",260000,"petrol",2,"blue","mechanics","front-wheel drive"
"mercedes-benz","c-klass",4250,2001,"with mileage",235000,"petrol",2,"silver","auto","rear drive"
"lexus","ct",13250,2011,"with mileage",132000,"petrol",1.8,"black","auto","front-wheel drive"
"jeep","grand-cherokee",12000,2005,"with mileage",234000,"diesel",3,"gray","auto","all-wheel drive"
"kia","sportage",23500,2016,"with mileage",61000,"petrol",1.6,"other","auto","part-time four-wheel drive"
"volkswagen","touareg",9000,2004,"with mileage",303000,"diesel",2.5,"black","mechanics","all-wheel drive"
"opel","signum",5400,2003,"with mileage",371000,"diesel",2.2,"blue","auto","front-wheel drive"
"toyota","camry",6250,2004,"with mileage",160934,"petrol",2.4,"silver","auto","front-wheel drive"
"mazda","626",1500,2001,"with mileage",300000,"diesel",2,"other","mechanics","front-wheel drive"
"mercedes-benz","e-klass",2700,1988,"with mileage",309500,"petrol",2.6,"blue","mechanics","rear drive"
"volkswagen","passat",1450,1991,"with mileage",480000,"diesel",1.6,"white","mechanics",""
"audi","a8",15700,2010,"with mileage",176000,"petrol",4.2,"black","auto","all-wheel drive"
"ssangyong","kyron",7800,2006,"with mileage",210100,"diesel",2,"black","auto","part-time four-wheel drive"
"bmw","3-seriya",1700,1993,"with mileage",350000,"petrol",1.8,"gray","mechanics","rear drive"
"daewoo","leganza",1100,1998,"with mileage",380000,"petrol",2,"silver","mechanics","front-wheel drive"
"daewoo","nubira",900,1998,"with mileage",320000,"petrol",1.6,"black","auto","front-wheel drive"
"lada-vaz","granta",6400,2018,"with mileage",26000,"petrol",1.6,"black","mechanics","front-wheel drive"
"hyundai","grand-santa-fe",26499,2014,"with mileage",75000,"diesel",2.2,"black","auto","part-time four-wheel drive"
"mercedes-benz","v-klass",59900,2016,"with mileage",40900,"diesel",2.2,"black","auto","all-wheel drive"
"audi","a4",2650,1997,"with mileage",435000,"diesel",1.9,"blue","mechanics","front-wheel drive"
"opel","omega",1900,1995,"with mileage",498000,"diesel",2.5,"blue","mechanics","rear drive"
"renault","laguna",3650,2003,"with mileage",305000,"diesel",1.9,"silver","mechanics","front-wheel drive"
"rover","75",5999,2004,"with mileage",231700,"diesel",2,"blue","auto","front-wheel drive"
"fiat","punto",2200,2001,"with mileage",22500,"petrol",1.2,"silver","mechanics","front-wheel drive"
"audi","100",1000,1987,"with mileage",270000,"petrol",1.8,"white","mechanics","front-wheel drive"
"hyundai","accent",570,1995,"with damage",248590,"petrol",1.3,"green","mechanics",""
"kia","sportage",2700,1998,"with mileage",314898,"diesel",2,"blue","mechanics","part-time four-wheel drive"
"volkswagen","polo-sedan",11000,2015,"with mileage",67400,"petrol",1.6,"black","auto","front-wheel drive"
"hyundai","ix35",11700,2010,"with mileage",130000,"petrol",2,"brown","mechanics","front-wheel drive"
"audi","a4",3700,1999,"with mileage",316000,"diesel",2.5,"silver","auto","front-wheel drive"
"renault","megane",900,1996,"with mileage",245000,"petrol",1.6,"red","mechanics","front-wheel drive"
"opel","astra",2500,2000,"with mileage",308700,"diesel",2,"black","mechanics","front-wheel drive"
"subaru","wrx",22900,2014,"with mileage",84000,"petrol",2,"red","auto","all-wheel drive"
"citroen","c5",8000,2009,"with mileage",232000,"diesel",2,"other","mechanics","front-wheel drive"
"mercedes-benz","e-klass",10690,2007,"with mileage",300000,"diesel",3.2,"black","auto","rear drive"
"land-rover","discovery",9450,2004,"with mileage",304000,"diesel",2.7,"blue","auto","all-wheel drive"
"mercedes-benz","e-klass",18000,2012,"with mileage",109000,"petrol",1.8,"white","auto","rear drive"
"mercedes-benz","e-klass",1000,1984,"with mileage",350000,"diesel",2,"black","mechanics","rear drive"
"ford","focus",15150,2018,"with mileage",25000,"petrol",1.6,"gray","mechanics","front-wheel drive"
"toyota","avensis",8100,2007,"with mileage",217000,"diesel",2.2,"black","mechanics","front-wheel drive"
"mercedes-benz","e-klass",5800,2000,"with mileage",1000000,"diesel",2.7,"blue","auto","rear drive"
"nissan","terrano",8850,2004,"with mileage",303800,"diesel",2.7,"gray","mechanics","part-time four-wheel drive"
"nissan","almera-classic",4500,2006,"with mileage",150000,"petrol",1.6,"silver","mechanics","front-wheel drive"
"opel","zafira",5000,2003,"with mileage",300000,"diesel",2,"blue","mechanics","front-wheel drive"
"renault","scenic",3150,1999,"with mileage",201000,"petrol",1.6,"green","mechanics","front-wheel drive"
"toyota","yaris",5000,2007,"with mileage",189000,"diesel",1.4,"silver","mechanics","front-wheel drive"
"mercedes-benz","g-klass-amg",25000,2005,"with mileage",305000,"petrol",5.439,"black","auto","all-wheel drive"
"peugeot","605",475,1996,"with mileage",1111,"petrol",2,"silver","mechanics","front-wheel drive"
"opel","astra",7200,2011,"with mileage",120000,"petrol",1.4,"black","mechanics","front-wheel drive"
"renault","laguna",2200,2000,"with mileage",326899,"petrol",1.8,"silver","mechanics","front-wheel drive"
"peugeot","206",3803,2008,"with mileage",88000,"petrol",1.4,"blue","mechanics","front-wheel drive"
"opel","zafira",4300,2002,"with mileage",343000,"diesel",2,"silver","mechanics","front-wheel drive"
"peugeot","308",9800,2015,"with mileage",163000,"diesel",1.6,"black","mechanics","front-wheel drive"
"nissan","almera",399,1998,"with mileage",222222,"diesel",2,"green","mechanics","front-wheel drive"
"mercedes-benz","c-klass",9750,2010,"with mileage",240000,"petrol",1.8,"black","auto","rear drive"
"toyota","aygo",3800,2007,"with mileage",112000,"petrol",1,"other","mechanics","front-wheel drive"
"audi","80",2010,1987,"with mileage",300000,"petrol",1.8,"gray","mechanics","front-wheel drive"
"renault","scenic",8600,2011,"with mileage",180000,"diesel",1.469,"gray","auto","front-wheel drive"
"peugeot","406",2900,2001,"with mileage",430000,"diesel",2.2,"silver","mechanics","front-wheel drive"
"toyota","land-cruiser-prado",25800,2010,"with mileage",238640,"diesel",3,"black","auto","part-time four-wheel drive"
"kia","sorento",15200,2013,"with mileage",74000,"petrol",2.4,"black","mechanics","part-time four-wheel drive"
"volkswagen","golf",6000,2006,"with mileage",150000,"petrol",1.6,"black","mechanics","front-wheel drive"
"bmw","x5",15500,2008,"with mileage",193000,"petrol",4.8,"black","auto","all-wheel drive"
"toyota","land-cruiser",9950,1990,"with mileage",312000,"diesel",4.2,"silver","mechanics",""
"mercedes-benz","c-klass",9800,2008,"with mileage",185000,"petrol",2.5,"blue","auto","rear drive"
"nissan","teana",6400,2007,"with mileage",198000,"petrol",2,"blue","auto","front-wheel drive"
"chevrolet","cruze",9950,2011,"with mileage",82076.34,"petrol",1.4,"burgundy","auto","front-wheel drive"
"daewoo","lanos",1000,1998,"with mileage",230000,"petrol",1.4,"green","mechanics","front-wheel drive"
"subaru","vivio",1000,2000,"with mileage",200000,"petrol",0.75,"other","mechanics","front-wheel drive"
"volkswagen","passat",1400,1992,"with mileage",280000,"petrol",2,"burgundy","mechanics","front-wheel drive"
"mazda","3",4999,2006,"with mileage",205000,"petrol",1.6,"red","mechanics","front-wheel drive"
"mazda","626",2200,2000,"with mileage",320000,"diesel",2,"black","mechanics","front-wheel drive"
"mazda","cx-7",8300,2007,"with mileage",150000,"petrol",2.3,"silver","auto","front-wheel drive"
"volkswagen","passat",1800,1993,"with mileage",380000,"petrol",1.8,"burgundy","mechanics","front-wheel drive"
"mazda","6",7450,2008,"with mileage",199900,"petrol",2,"red","mechanics","front-wheel drive"
"volvo","xc60",24500,2015,"with mileage",124008,"diesel",2,"black","mechanics","front-wheel drive"
"citroen","c4-picasso",4400,2007,"with mileage",224000,"petrol",2,"blue","auto","front-wheel drive"
"opel","astra",6850,2010,"with mileage",168550,"petrol",1.4,"silver","mechanics","front-wheel drive"
"peugeot","405",1200,1989,"with mileage",399000,"petrol",1.9,"silver","mechanics","front-wheel drive"
"volvo","460",300,1995,"with mileage",320000,"petrol",1.8,"burgundy","mechanics","front-wheel drive"
"renault","megane",1300,1999,"with mileage",350000,"petrol",1.6,"white","mechanics",""
"renault","scenic",2100,1997,"with mileage",40000,"petrol",2,"other","mechanics","front-wheel drive"
"audi","80",2400,1991,"with mileage",280000,"petrol",2,"green","auto","front-wheel drive"
"bmw","7-seriya",3500,1995,"with mileage",504000,"petrol",2.8,"black","mechanics","rear drive"
"kia","sephia",600,1999,"for parts",207405,"petrol",1.5,"red","mechanics",""
"opel","corsa",4800,2007,"with mileage",197000,"petrol",1.4,"black","mechanics","front-wheel drive"
"kia","soul",12500,2014,"with mileage",95000,"petrol",1.6,"red","mechanics","front-wheel drive"
"lexus","ls",16000,2007,"with mileage",240000,"petrol",4.6,"black","auto","rear drive"
"volkswagen","passat",7800,2008,"with mileage",230000,"diesel",1.9,"silver","mechanics","front-wheel drive"
"geely","atlas",17500,2018,"with mileage",19500,"petrol",2.4,"black","auto","front-wheel drive"
"skoda","superb",18200,2015,"with mileage",163000,"diesel",1.6,"gray","mechanics","front-wheel drive"
"hyundai","accent",7300,2011,"with mileage",148000,"petrol",1.6,"gray","mechanics","front-wheel drive"
"peugeot","308",6655,2010,"with mileage",93500,"petrol",1.6,"black","mechanics","front-wheel drive"
"hyundai","ix35",10500,2010,"with mileage",69641,"petrol",2,"gray","mechanics","front-wheel drive"
"ford","s-max",6000,2006,"with mileage",153000,"petrol",2.5,"blue","mechanics","front-wheel drive"
"lada-vaz","2105",550,1986,"with mileage",100,"petrol",1.5,"white","mechanics",""
"nissan","qashqai",19500,2016,"with mileage",36000,"petrol",2,"white","auto","part-time four-wheel drive"
"volkswagen","passat",7000,2010,"with mileage",220000,"diesel",1.6,"red","mechanics","front-wheel drive"
"toyota","land-cruiser",56789,2016,"with mileage",80000,"diesel",4.5,"black","auto","all-wheel drive"
"buick","encore",12500,2015,"with mileage",52000,"petrol",1.4,"black","auto","front-wheel drive"
"bmw","3-seriya",2500,1997,"with mileage",4444523,"diesel",1.8,"black","mechanics",""
"nissan","cherry",250,1985,"with mileage",260000,"diesel",1.7,"red","mechanics","front-wheel drive"
"ford","ecosport",10500,2014,"with mileage",95000,"petrol",1.6,"black","auto","front-wheel drive"
"jeep","grand-cherokee",13200,2010,"with mileage",250000,"petrol",3.6,"silver","auto",""
"bmw","5-seriya",9700,2007,"with mileage",235000,"petrol",2.5,"black","auto","rear drive"
"audi","100",3250,1992,"with mileage",425000,"diesel",2.5,"white","mechanics","front-wheel drive"
"renault","scenic",2250,1999,"with mileage",243564,"petrol",2,"blue","mechanics","front-wheel drive"
"bmw","5-seriya",6300,2002,"with mileage",400000,"diesel",3,"silver","auto","rear drive"
"audi","a6",6700,2004,"with mileage",375000,"diesel",2.5,"blue","mechanics","front-wheel drive"
"volkswagen","multivan",12500,2002,"with mileage",270000,"diesel",2.5,"silver","mechanics","front-wheel drive"
"bmw","5-seriya",4500,1999,"with mileage",300000,"petrol",3.5,"green","mechanics","rear drive"
"volkswagen","polo-sedan",7500,2014,"with mileage",90000,"petrol",1.6,"gray","mechanics","front-wheel drive"
"bmw","5-seriya",8300,2006,"with mileage",315000,"diesel",2,"silver","mechanics","rear drive"
"audi","q3",13500,2012,"with mileage",179000,"petrol",2,"black","auto","part-time four-wheel drive"
"audi","a6",10900,2008,"with mileage",249000,"petrol",2.8,"black","auto","front-wheel drive"
"ford","mondeo",700,1993,"with mileage",300000,"petrol",1.6,"other","mechanics","front-wheel drive"
"ford","focus",2999,2000,"with mileage",249000,"diesel",1.8,"black","mechanics","front-wheel drive"
"bmw","3-seriya",1000,1992,"with mileage",250000,"petrol",1.6,"green","mechanics","rear drive"
"mercedes-benz","m-klass",9300,2006,"with mileage",141000,"petrol",3.5,"black","auto","all-wheel drive"
"citroen","xm",700,1995,"with mileage",224000,"petrol",2,"green","mechanics","front-wheel drive"
"mazda","626",350,1991,"with mileage",360000,"petrol",1.796,"gray","mechanics","front-wheel drive"
"mitsubishi","galant",300,1988,"for parts",999999,"petrol",2,"blue","mechanics","front-wheel drive"
"bmw","5-seriya",5300,2002,"with mileage",320000,"diesel",2.5,"green","auto","rear drive"
"mazda","6",7900,2008,"with mileage",155000,"petrol",2,"other","auto","front-wheel drive"
"audi","a4",5000,1999,"with mileage",372000,"diesel",1.9,"green","mechanics","front-wheel drive"
"mercedes-benz","a-klass",2280,1998,"with mileage",272525,"petrol",1.6,"green","mechanics","front-wheel drive"
"renault","megane",1250,1997,"with mileage",320000,"petrol",1.6,"blue","mechanics","front-wheel drive"
"mercedes-benz","e-klass",4500,1998,"with mileage",450000,"diesel",2.5,"black","mechanics","rear drive"
"volkswagen","passat",7450,2007,"with mileage",285000,"diesel",2,"blue","mechanics","front-wheel drive"
"mazda","cx-7",6900,2006,"with mileage",216000,"petrol",2.3,"white","auto","front-wheel drive"
"nissan","qashqai-2",11800,2010,"with mileage",241000,"diesel",1.5,"silver","mechanics","front-wheel drive"
"mercedes-benz","e-klass",700,1982,"with mileage",3466654,"diesel",2,"burgundy","mechanics","rear drive"
"opel","astra",2050,1999,"with mileage",320000,"petrol",1.6,"gray","mechanics","front-wheel drive"
"proton","persona",1200,1996,"with mileage",250000,"petrol",1.3,"other","mechanics","front-wheel drive"
"audi","a6",7000,2006,"with mileage",318602,"petrol",3.2,"silver","auto","all-wheel drive"
"volkswagen","passat",7606,2010,"with mileage",180000,"petrol",1.4,"silver","auto","front-wheel drive"
"renault","laguna",2500,1996,"with mileage",450000,"diesel",2.2,"red","mechanics","front-wheel drive"
"peugeot","306",2400,2000,"with mileage",360000,"diesel",1.9,"silver","mechanics","front-wheel drive"
"lexus","gs",12500,2008,"with mileage",242000,"petrol",3.5,"black","auto","rear drive"
"volkswagen","touareg",16950,2011,"with mileage",132000,"petrol",3,"gray","auto","part-time four-wheel drive"
"skoda","octavia",8700,2011,"with mileage",110000,"petrol",1.6,"black","mechanics","front-wheel drive"
"bmw","3-seriya",1500,1991,"with mileage",300000,"petrol",1.8,"black","mechanics","rear drive"
"ford","mondeo",1750,1998,"with mileage",312000,"diesel",1.8,"blue","mechanics","front-wheel drive"
"opel","corsa",4800,2009,"with mileage",120000,"petrol",1.2,"blue","mechanics","front-wheel drive"
"nissan","almera-tino",2700,2001,"with mileage",247000,"diesel",2.2,"silver","mechanics","front-wheel drive"
"volkswagen","polo-sedan",9700,2018,"with mileage",51400,"petrol",1.6,"gray","mechanics","front-wheel drive"
"ford","fiesta",500,1994,"with mileage",611000,"petrol",1.3,"red","mechanics","front-wheel drive"
"mazda","demio",2800,1999,"with mileage",219000,"petrol",1.3,"blue","mechanics","front-wheel drive"
"audi","q7",18300,2011,"with mileage",106761,"petrol",3,"white","auto","all-wheel drive"
"renault","scenic",7350,2010,"with mileage",250000,"diesel",1.5,"black","mechanics","front-wheel drive"
"mercedes-benz","m-klass",7999,2002,"with mileage",392000,"diesel",2.7,"silver","auto","all-wheel drive"
"chevrolet","lacetti",3500,2007,"with mileage",175000,"petrol",1.4,"blue","mechanics","front-wheel drive"
"toyota","auris",11550,2016,"with mileage",113631,"petrol",1.4,"silver","mechanics","front-wheel drive"
"kia","sephia",950,1997,"with mileage",245000,"petrol",1.6,"blue","mechanics","front-wheel drive"
"gaz","21",10800,1961,"with mileage",100000,"petrol",2.4,"gray","mechanics","rear drive"
"toyota","rav4",2111,2008,"with damage",123784,"petrol",2,"black","mechanics","part-time four-wheel drive"
"citroen","saxo",1188,1998,"with mileage",192000,"petrol",1.1,"blue","mechanics","front-wheel drive"
"mercedes-benz","gl-klass",36900,2013,"with mileage",148000,"diesel",3.5,"black","auto","all-wheel drive"
"bmw","5-seriya",4999,2001,"with mileage",355000,"diesel",1.951,"black","mechanics","rear drive"
"mercedes-benz","e-klass",9499,2007,"with mileage",350000,"diesel",2.2,"blue","mechanics","rear drive"
"opel","astra",1900,1999,"with mileage",231000,"petrol",2,"silver","mechanics","front-wheel drive"
"mazda","6",5450,2007,"with mileage",249887,"petrol",1.8,"silver","mechanics","front-wheel drive"
"opel","vectra",6000,2007,"with mileage",170000,"petrol",1.8,"gray","mechanics","front-wheel drive"
"mercedes-benz","cl",6200,2000,"with mileage",322000,"petrol",5,"black","auto","rear drive"
"honda","civic",2000,1998,"with mileage",300,"petrol",1.4,"purple","mechanics","front-wheel drive"
"bmw","2-seriya-gran-tourer",16700,2016,"with mileage",178000,"diesel",1.5,"white","auto","front-wheel drive"
"toyota","land-cruiser-prado",21500,2008,"with mileage",105000,"diesel",3,"silver","auto","all-wheel drive"
"volkswagen","touran",6893,2005,"with mileage",238095,"diesel",1.9,"black","mechanics","front-wheel drive"
"citroen","c5",3999,2004,"with mileage",234000,"petrol",2,"black","auto","front-wheel drive"
"citroen","c4-grand-picasso",9255,2010,"with mileage",275000,"diesel",1.56,"silver","mechanics","front-wheel drive"
"mitsubishi","galant",2995,2003,"with mileage",305774.6,"petrol",2.3,"silver","auto","front-wheel drive"
"ford","explorer",6500,2003,"with mileage",180000,"petrol",4,"black","auto","part-time four-wheel drive"
"ford","c-max",5950,2004,"with mileage",21800,"diesel",1.6,"silver","mechanics","front-wheel drive"
"bmw","x5",21000,2010,"with mileage",150000,"diesel",3.5,"black","auto","all-wheel drive"
"bmw","7-seriya",13500,2009,"with mileage",97000,"petrol",3,"black","auto","rear drive"
"mercedes-benz","vito",5000,1998,"with mileage",380000,"diesel",2.3,"silver","mechanics","front-wheel drive"
"opel","vectra",1050,1995,"with mileage",315000,"petrol",1.6,"green","mechanics","front-wheel drive"
"toyota","corolla",8200,2008,"with mileage",163000,"petrol",1.6,"black","mechanics","front-wheel drive"
"mercedes-benz","vito",14000,2006,"with mileage",420000,"diesel",2.2,"silver","mechanics","all-wheel drive"
"jaguar","xf",13900,2009,"with mileage",140000,"petrol",3,"white","auto","rear drive"
"hyundai","solaris",9200,2015,"with mileage",70000,"petrol",1.4,"white","mechanics","front-wheel drive"
"audi","100",1999,1989,"with mileage",350000,"petrol",1.8,"gray","mechanics","front-wheel drive"
"bmw","3-seriya",5500,2002,"with mileage",440000,"diesel",2,"black","mechanics","rear drive"
"mazda","626",1450,1997,"with mileage",290000,"petrol",2,"burgundy","auto","front-wheel drive"
"kia","optima",19300,2016,"with mileage",88000,"diesel",1.7,"white","mechanics","front-wheel drive"
"hyundai","santa-fe",9200,2006,"with mileage",358000,"diesel",2.2,"black","auto","front-wheel drive"
"bmw","x1",12499,2011,"with mileage",109900,"petrol",2,"brown","auto","rear drive"
