"price","area","bedrooms","bathrooms","stories","mainroad","guestroom","basement","hotwaterheating","airconditioning","parking","prefarea","furnishingstatus"
6.93,824.972129319955,3,2,2,"yes","no","yes","no","yes",1,"no","furnished"
6.51,766.44370122631,3,2,3,"yes","no","no","no","yes",0,"no","furnished"
6.475,688.405797101449,3,1,1,"yes","yes","yes","no","yes",2,"yes","unfurnished"
6.44,797.101449275362,5,3,2,"yes","no","no","no","no",2,"no","furnished"
6.419,627.090301003345,2,1,1,"yes","yes","yes","no","no",2,"yes","furnished"
6.3,668.896321070234,3,2,1,"yes","no","yes","no","yes",3,"no","semi-furnished"
6.3,836.120401337793,3,1,1,"yes","no","yes","no","no",1,"yes","furnished"
6.3,594.574507617986,3,1,1,"yes","yes","yes","no","yes",1,"yes","semi-furnished"
6.293,613.154960981048,3,2,3,"yes","no","no","no","yes",0,"yes","unfurnished"
6.23,613.154960981048,3,2,1,"yes","no","yes","no","yes",0,"yes","unfurnished"
6.195,589.92939427722,3,2,3,"yes","yes","no","no","yes",0,"no","furnished"
6.125,596.432552954292,3,1,3,"yes","no","yes","no","no",0,"yes","unfurnished"
6.09,614.548494983278,4,2,2,"yes","yes","no","yes","no",1,"no","semi-furnished"
6.09,613.154960981048,3,1,1,"yes","yes","yes","no","no",2,"yes","semi-furnished"
6.09,777.777777777778,3,1,3,"yes","no","no","no","yes",2,"no","unfurnished"
6.02,631.73541434411,2,1,1,"yes","yes","yes","no","no",2,"no","furnished"
6.02,743.218134522482,3,1,1,"yes","yes","yes","no","yes",2,"yes","semi-furnished"
6.02,641.025641025641,3,2,1,"yes","yes","yes","no","no",0,"yes","unfurnished"
5.95,596.432552954292,3,1,1,"yes","no","yes","no","yes",0,"yes","furnished"
5.95,652.173913043478,3,1,1,"yes","no","yes","no","yes",2,"yes","semi-furnished"
5.95,607.580824972129,3,1,1,"yes","yes","yes","no","no",2,"yes","furnished"
5.95,671.776291341509,3,1,2,"yes","yes","yes","no","yes",0,"yes","semi-furnished"
5.95,581.010776662951,4,2,1,"yes","no","yes","no","no",1,"yes","semi-furnished"
5.95,680.044593088071,4,2,2,"yes","no","no","no","no",0,"no","furnished"
5.95,606.1872909699,3,2,4,"yes","no","no","no","no",1,"no","furnished"
5.88,665.180230397622,3,1,1,"yes","no","yes","no","no",2,"yes","unfurnished"
5.88,603.864734299517,3,2,3,"yes","no","no","no","yes",0,"no","unfurnished"
5.873,510.962467484207,3,1,3,"yes","yes","no","no","yes",1,"no","furnished"
5.81,541.434410999628,4,1,4,"yes","yes","no","no","no",0,"no","semi-furnished"
5.81,483.091787439614,3,1,3,"yes","no","no","no","yes",0,"no","semi-furnished"
5.803,650.315867707172,3,1,1,"yes","no","yes","no","no",2,"yes","semi-furnished"
5.775,557.413600891862,3,2,4,"yes","no","no","no","yes",0,"no","unfurnished"
5.74,501.672240802676,4,2,2,"yes","no","no","no","yes",2,"no","unfurnished"
5.74,464.511334076552,3,1,3,"yes","no","no","no","yes",0,"no","semi-furnished"
5.74,590.858416945374,3,1,1,"yes","yes","yes","no","yes",2,"yes","furnished"
5.74,538.8331475288,3,2,4,"yes","no","no","no","yes",0,"no","unfurnished"
5.6525,618.729096989967,4,2,2,"yes","yes","yes","no","no",1,"yes","semi-furnished"
5.6,445.930880713489,5,2,3,"no","no","yes","yes","no",0,"no","unfurnished"
5.6,436.640654031958,4,1,2,"yes","yes","yes","no","yes",1,"no","furnished"
5.6,464.511334076552,3,1,4,"yes","no","no","no","no",0,"no","furnished"
5.6,510.962467484207,3,2,2,"yes","no","no","no","no",1,"no","semi-furnished"
5.6,590.858416945374,3,1,3,"yes","no","no","no","no",0,"yes","semi-furnished"
5.6,613.154960981048,4,2,1,"yes","no","yes","no","no",0,"yes","semi-furnished"
5.6,477.146042363434,3,1,2,"yes","yes","yes","no","yes",0,"yes","unfurnished"
5.565,501.672240802676,5,1,2,"yes","yes","yes","no","yes",0,"yes","furnished"
5.53,566.703827573393,3,2,1,"yes","no","yes","no","no",2,"yes","furnished"
5.523,641.025641025641,3,1,1,"yes","yes","yes","no","no",0,"yes","semi-furnished"
5.495,741.360089186176,3,1,1,"yes","no","no","no","no",2,"no","semi-furnished"
5.46,576.923076923077,4,1,4,"yes","yes","no","no","yes",0,"no","furnished"
5.46,566.703827573393,3,1,3,"yes","yes","no","no","yes",0,"yes","semi-furnished"
5.46,613.154960981048,4,2,2,"yes","yes","yes","no","no",0,"yes","semi-furnished"
5.425,634.057971014493,3,1,1,"yes","yes","yes","no","yes",0,"yes","semi-furnished"
5.39,623.374210330732,3,2,2,"yes","yes","yes","no","no",1,"yes","furnished"
5.383,599.219620958751,3,2,1,"yes","yes","yes","yes","no",0,"no","unfurnished"
5.32,724.63768115942,3,1,1,"yes","no","yes","no","yes",2,"yes","unfurnished"
5.285,427.350427350427,2,2,1,"yes","no","no","no","yes",2,"no","semi-furnished"
5.25,395.763656633222,4,1,2,"yes","no","yes","no","yes",0,"no","furnished"
5.25,607.580824972129,4,2,2,"no","no","no","no","yes",0,"no","semi-furnished"
5.25,510.962467484207,3,2,1,"yes","no","yes","no","no",0,"no","semi-furnished"
5.25,492.382014121145,4,2,1,"yes","no","no","no","yes",0,"yes","unfurnished"
5.243,562.058714232627,3,1,1,"yes","no","yes","no","no",0,"yes","semi-furnished"
5.229,658.212560386473,3,1,1,"yes","yes","yes","no","no",2,"yes","semi-furnished"
5.215,418.060200668896,4,2,1,"no","no","yes","no","yes",2,"no","semi-furnished"
5.215,668.896321070234,3,1,2,"yes","yes","yes","no","no",1,"yes","furnished"
5.11,566.703827573393,3,1,1,"yes","no","yes","no","yes",0,"yes","semi-furnished"
5.075,531.400966183575,2,1,2,"yes","no","no","no","yes",0,"yes","unfurnished"
5.04,613.154960981048,3,1,1,"yes","yes","yes","no","no",0,"yes","furnished"
5.033,445.930880713489,2,1,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
4.97,409.698996655518,4,3,2,"yes","no","yes","no","no",2,"no","semi-furnished"
4.935,552.582683017466,3,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
4.907,390.189520624303,3,1,2,"yes","no","no","no","no",1,"no","furnished"
4.9,419.918246005203,3,1,2,"yes","no","yes","no","yes",0,"no","semi-furnished"
4.9,380.434782608696,3,1,2,"no","yes","yes","no","yes",0,"no","semi-furnished"
4.9,382.757339279078,2,1,1,"yes","no","yes","no","no",1,"no","semi-furnished"
4.9,501.672240802676,4,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
4.9,443.14381270903,3,1,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
4.9,585.284280936455,3,1,1,"yes","no","no","no","yes",2,"no","semi-furnished"
4.9,538.8331475288,2,1,1,"yes","yes","yes","no","yes",0,"no","semi-furnished"
4.9,624.303232998885,3,1,1,"yes","no","no","no","no",0,"no","unfurnished"
4.9,431.623931623932,3,1,2,"yes","yes","yes","no","no",2,"no","semi-furnished"
4.893,464.046822742475,4,2,1,"yes","no","yes","no","no",0,"no","semi-furnished"
4.865,404.1248606466,2,1,1,"yes","no","yes","no","no",0,"no","unfurnished"
4.83,386.473429951691,3,1,3,"yes","no","no","no","no",0,"no","unfurnished"
4.83,561.129691564474,3,1,1,"yes","no","no","no","no",2,"yes","semi-furnished"
4.83,637.495354886659,3,1,2,"yes","no","no","no","yes",2,"yes","furnished"
4.83,447.324414715719,2,1,1,"yes","no","no","no","yes",0,"yes","semi-furnished"
4.795,650.315867707172,3,1,2,"yes","no","yes","no","no",0,"no","unfurnished"
4.767,317.725752508361,4,2,2,"yes","no","no","no","no",0,"no","semi-furnished"
4.76,587.235228539576,3,1,2,"yes","no","yes","no","yes",1,"no","furnished"
4.753,598.290598290598,2,1,1,"yes","no","no","no","yes",3,"no","semi-furnished"
4.69,480.304719435154,3,1,4,"yes","no","no","no","yes",0,"no","semi-furnished"
4.69,557.413600891862,2,1,1,"yes","no","yes","no","yes",1,"no","furnished"
4.69,337.235228539576,3,1,2,"yes","no","no","no","no",2,"no","semi-furnished"
4.69,501.672240802676,2,1,2,"yes","no","no","no","no",0,"yes","semi-furnished"
4.69,401.33779264214,3,1,1,"yes","no","no","no","no",0,"yes","semi-furnished"
4.655,347.918989223337,3,1,2,"yes","no","yes","no","no",0,"no","furnished"
4.62,386.473429951691,3,1,1,"yes","yes","yes","no","yes",0,"no","unfurnished"
4.62,360.460795243404,3,2,2,"yes","no","yes","no","no",2,"no","semi-furnished"
4.62,527.684875510962,3,1,2,"yes","yes","no","no","yes",1,"no","semi-furnished"
4.62,465.440356744705,3,1,2,"yes","no","yes","no","no",0,"no","semi-furnished"
4.613,418.989223337049,4,2,2,"yes","no","yes","no","no",0,"no","semi-furnished"
4.585,371.609067261241,3,1,2,"yes","no","no","no","no",1,"no","furnished"
4.585,356.744704570792,3,1,2,"yes","no","no","no","no",1,"yes","semi-furnished"
4.55,349.312523225567,3,1,1,"yes","no","no","no","no",2,"no","semi-furnished"
4.55,338.164251207729,3,1,2,"yes","no","no","no","yes",0,"no","furnished"
4.55,494.240059457451,3,1,2,"yes","yes","yes","no","no",0,"yes","semi-furnished"
4.55,497.956150130063,3,1,2,"yes","no","no","no","no",2,"yes","unfurnished"
4.55,327.015979189892,3,1,1,"yes","no","no","no","no",0,"yes","semi-furnished"
4.543,380.899293942772,2,2,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
4.543,463.582311408398,4,2,2,"yes","yes","yes","no","no",0,"yes","furnished"
4.515,326.086956521739,3,1,3,"yes","no","no","no","no",0,"no","semi-furnished"
4.515,320.512820512821,3,1,2,"yes","no","yes","no","no",1,"no","semi-furnished"
4.515,327.015979189892,2,1,2,"yes","no","no","no","no",0,"yes","furnished"
4.48,418.989223337049,4,1,2,"yes","no","no","no","yes",2,"no","semi-furnished"
4.48,546.729840208101,2,1,1,"yes","no","no","no","yes",1,"no","unfurnished"
4.48,371.609067261241,3,1,2,"yes","no","no","no","no",2,"no","furnished"
4.48,375.325157933854,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
4.473,590.858416945374,2,1,1,"yes","no","yes","no","yes",1,"no","furnished"
4.473,293.756967670011,3,1,2,"yes","no","no","no","yes",1,"no","furnished"
4.473,326.086956521739,3,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
4.445,348.383500557414,2,1,1,"yes","yes","yes","no","no",0,"no","semi-furnished"
4.41,368.636194723151,3,1,2,"no","no","no","no","no",0,"no","semi-furnished"
4.41,455.22110739502,2,1,2,"yes","no","yes","no","no",0,"no","semi-furnished"
4.403,267.558528428094,3,1,2,"yes","no","no","no","no",0,"yes","semi-furnished"
4.403,453.363062058714,3,1,1,"yes","no","no","no","no",2,"yes","unfurnished"
4.403,457.079152731327,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
4.382,459.866220735786,4,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
4.375,362.31884057971,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
4.34,418.060200668896,3,2,3,"yes","no","no","yes","no",1,"no","furnished"
4.34,378.576737272389,3,1,1,"yes","yes","yes","no","no",2,"no","semi-furnished"
4.34,325.157933853586,4,1,2,"yes","no","no","no","no",2,"no","furnished"
4.319,374.581939799331,2,1,1,"yes","no","yes","no","no",0,"no","furnished"
4.305,408.769973987365,2,1,1,"yes","no","no","no","no",1,"no","semi-furnished"
4.277,315.867707172055,3,1,2,"yes","no","yes","no","no",2,"yes","semi-furnished"
4.27,418.060200668896,2,1,1,"yes","no","no","no","yes",2,"no","furnished"
4.27,405.053883314753,4,1,2,"yes","no","no","no","no",0,"no","furnished"
4.235,258.91861761427,3,1,1,"yes","no","yes","no","no",0,"yes","furnished"
4.2,510.962467484207,3,1,2,"yes","no","no","no","yes",0,"no","unfurnished"
4.2,468.227424749164,3,1,2,"yes","no","yes","no","yes",0,"no","unfurnished"
4.2,543.478260869565,2,1,1,"yes","yes","yes","no","no",2,"no","semi-furnished"
4.2,242.47491638796,4,3,2,"no","no","no","no","no",0,"no","semi-furnished"
4.2,274.340393905611,3,1,2,"yes","no","yes","no","yes",0,"no","unfurnished"
4.2,255.202526941657,4,2,2,"no","no","no","no","no",0,"no","semi-furnished"
4.2,409.698996655518,2,1,1,"no","no","no","no","no",1,"no","unfurnished"
4.2,371.609067261241,4,2,2,"no","no","no","no","no",0,"no","semi-furnished"
4.2,427.350427350427,3,2,2,"yes","no","no","no","yes",1,"no","semi-furnished"
4.2,338.164251207729,3,2,2,"yes","no","yes","no","no",0,"no","unfurnished"
4.2,538.8331475288,3,1,1,"yes","no","no","yes","no",2,"no","semi-furnished"
4.2,378.948346339651,3,1,3,"yes","no","no","no","no",0,"no","semi-furnished"
4.2,327.015979189892,3,1,2,"yes","no","no","no","no",0,"yes","semi-furnished"
4.2,418.060200668896,3,1,1,"yes","no","yes","no","no",0,"no","furnished"
4.193,320.512820512821,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
4.165,449.646971386102,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
4.165,379.041248606466,3,1,2,"yes","no","no","no","no",2,"no","semi-furnished"
4.165,375.882571534745,3,1,2,"yes","no","yes","no","no",1,"no","semi-furnished"
4.13,430.323299888517,4,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
4.13,556.020066889632,3,1,1,"yes","no","yes","no","no",0,"no","semi-furnished"
4.123,562.98773690078,2,1,1,"yes","no","yes","no","no",1,"no","semi-furnished"
4.0985,334.448160535117,3,1,1,"yes","no","yes","no","yes",0,"yes","furnished"
4.095,341.880341880342,3,2,2,"yes","no","no","no","no",0,"no","semi-furnished"
4.095,375.325157933854,2,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
4.095,520.252694165738,2,1,1,"yes","no","no","no","yes",0,"no","semi-furnished"
4.06,548.123374210331,4,2,2,"no","no","yes","no","no",1,"no","unfurnished"
4.06,463.768115942029,3,2,2,"yes","no","no","no","no",2,"no","unfurnished"
4.06,403.195837978447,3,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
4.06,278.706800445931,4,1,3,"yes","no","yes","no","yes",2,"no","semi-furnished"
4.06,401.33779264214,3,1,2,"yes","no","no","no","no",2,"yes","furnished"
4.025,337.235228539576,3,2,2,"yes","no","no","yes","no",2,"no","semi-furnished"
4.025,321.441843180974,3,2,1,"yes","no","yes","no","yes",1,"no","furnished"
4.025,501.672240802676,3,1,1,"yes","no","no","no","no",3,"no","semi-furnished"
4.0075,418.060200668896,3,1,2,"no","no","yes","no","yes",0,"no","semi-furnished"
4.0075,321.441843180974,4,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
3.99,380.899293942772,4,1,1,"no","no","yes","no","no",0,"no","unfurnished"
3.99,418.060200668896,3,2,2,"no","no","yes","no","yes",0,"no","semi-furnished"
3.99,367.892976588629,3,1,2,"yes","no","no","no","no",0,"no","furnished"
3.99,376.254180602007,2,1,2,"yes","yes","yes","no","no",0,"yes","unfurnished"
3.92,510.962467484207,4,1,2,"yes","yes","yes","no","no",0,"no","semi-furnished"
3.92,278.706800445931,3,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
3.92,305.648457822371,2,1,1,"yes","no","no","yes","no",1,"no","furnished"
3.92,354.515050167224,2,1,1,"yes","no","yes","no","yes",2,"no","furnished"
3.92,199.275362318841,4,2,1,"yes","no","yes","no","no",0,"yes","unfurnished"
3.885,351.170568561873,2,1,2,"yes","yes","yes","no","no",0,"no","semi-furnished"
3.885,295.429208472687,4,2,2,"yes","no","no","no","no",0,"no","furnished"
3.85,492.382014121145,5,2,2,"yes","no","no","no","no",0,"no","semi-furnished"
3.85,295.429208472687,2,2,1,"yes","no","yes","no","no",2,"no","semi-furnished"
3.85,379.041248606466,2,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
3.85,357.673727238945,2,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
3.85,187.19806763285,3,1,2,"yes","no","yes","no","no",0,"yes","semi-furnished"
3.85,202.155332590115,2,1,2,"yes","yes","no","no","no",0,"yes","semi-furnished"
3.836,311.222593831289,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
3.815,292.642140468227,2,2,1,"no","no","yes","no","no",0,"no","semi-furnished"
3.78,447.788926049796,3,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
3.78,317.725752508361,2,1,2,"yes","no","no","yes","no",1,"no","semi-furnished"
3.78,334.448160535117,2,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
3.78,265.328874024526,3,1,3,"yes","no","no","no","no",0,"yes","furnished"
3.773,234.113712374582,5,2,1,"no","no","yes","no","yes",1,"no","furnished"
3.745,323.29988851728,2,1,1,"yes","no","no","no","no",0,"yes","semi-furnished"
3.71,334.448160535117,3,1,1,"yes","no","no","no","no",1,"no","unfurnished"
3.71,375.325157933854,2,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
3.71,376.254180602007,2,1,1,"yes","no","no","no","no",0,"no","furnished"
3.71,332.961724266072,2,1,1,"yes","no","no","yes","no",0,"no","semi-furnished"
3.703,289.855072463768,3,1,2,"no","no","yes","yes","no",0,"no","semi-furnished"
3.675,337.235228539576,2,1,1,"yes","no","yes","no","no",0,"no","furnished"
3.675,337.235228539576,2,1,1,"yes","no","no","no","yes",0,"no","unfurnished"
3.675,334.448160535117,2,1,1,"yes","no","no","no","no",0,"no","furnished"
3.64,397.621701969528,2,1,1,"yes","no","no","no","yes",2,"no","semi-furnished"
3.64,331.661092530658,3,1,2,"yes","no","yes","no","no",0,"no","semi-furnished"
3.64,295.429208472687,3,1,2,"no","no","yes","no","no",0,"no","semi-furnished"
3.64,278.706800445931,2,1,2,"yes","no","no","no","yes",0,"no","furnished"
3.64,327.015979189892,2,2,1,"yes","no","yes","no","no",0,"no","semi-furnished"
3.64,383.686361947232,3,2,2,"yes","no","no","no","no",2,"no","semi-furnished"
3.64,264.771460423634,3,2,2,"no","no","yes","no","no",0,"yes","unfurnished"
3.64,211.352657004831,3,1,3,"yes","no","no","yes","yes",0,"yes","semi-furnished"
3.633,327.015979189892,3,1,1,"yes","no","no","no","no",2,"yes","unfurnished"
3.605,418.060200668896,2,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
3.605,371.609067261241,2,1,1,"yes","no","no","no","no",0,"yes","semi-furnished"
3.57,292.642140468227,3,1,2,"yes","no","yes","no","no",0,"no","furnished"
3.57,418.060200668896,4,2,2,"yes","no","yes","no","no",2,"no","furnished"
3.57,418.060200668896,2,1,1,"no","no","no","no","no",0,"no","furnished"
3.57,338.164251207729,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
3.535,357.673727238945,3,1,1,"yes","no","no","no","no",2,"no","unfurnished"
3.5,393.905611296916,3,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
3.5,339.093273875883,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
3.5,427.350427350427,4,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
3.5,198.346339650687,3,2,2,"no","no","no","no","no",0,"no","unfurnished"
3.5,282.051282051282,3,1,2,"yes","no","yes","no","no",0,"no","semi-furnished"
3.5,370.680044593088,3,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
3.5,323.29988851728,3,1,1,"no","no","no","no","yes",0,"no","unfurnished"
3.5,334.448160535117,6,1,2,"yes","no","no","no","no",1,"no","unfurnished"
3.5,338.164251207729,2,1,1,"yes","no","no","no","no",1,"no","semi-furnished"
3.5,289.855072463768,3,1,2,"yes","no","no","no","no",1,"no","unfurnished"
3.5,326.27276105537,2,1,1,"yes","no","no","no","no",1,"yes","unfurnished"
3.465,284.280936454849,3,1,1,"yes","no","no","no","no",0,"no","unfurnished"
3.465,199.275362318841,3,1,3,"yes","no","no","no","no",0,"yes","furnished"
3.43,371.609067261241,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
3.43,295.893719806763,2,1,1,"yes","no","no","no","no",2,"no","unfurnished"
3.43,357.673727238945,3,1,1,"yes","no","no","no","no",0,"no","unfurnished"
3.43,199.275362318841,3,1,3,"yes","no","no","no","no",0,"yes","furnished"
3.43,242.47491638796,3,1,2,"yes","no","yes","no","no",0,"yes","unfurnished"
3.43,181.159420289855,3,2,2,"yes","no","yes","no","no",0,"yes","unfurnished"
3.423,375.325157933854,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
3.395,320.512820512821,3,1,1,"yes","no","yes","no","no",2,"no","unfurnished"
3.395,338.164251207729,2,1,1,"yes","no","no","no","no",0,"no","furnished"
3.36,325.157933853586,4,1,2,"yes","no","no","no","yes",2,"no","unfurnished"
3.36,382.757339279078,2,1,2,"yes","no","no","no","no",0,"no","unfurnished"
3.36,345.596432552954,2,1,1,"no","no","no","no","yes",0,"no","unfurnished"
3.36,348.383500557414,3,1,1,"yes","no","no","no","no",0,"no","unfurnished"
3.36,287.997027127462,3,1,2,"no","no","yes","no","no",0,"no","semi-furnished"
3.36,295.893719806763,2,1,1,"yes","no","yes","no","no",2,"no","furnished"
3.353,250.836120401338,3,1,1,"no","no","no","no","no",0,"no","furnished"
3.332,199.275362318841,3,1,2,"yes","no","yes","no","no",0,"yes","furnished"
3.325,375.325157933854,2,1,1,"yes","no","no","no","no",1,"no","unfurnished"
3.29,232.255667038276,2,1,1,"no","no","no","no","yes",0,"no","unfurnished"
3.29,295.429208472687,4,1,2,"yes","no","yes","no","yes",0,"no","unfurnished"
3.29,323.29988851728,4,1,2,"no","no","no","no","no",1,"no","semi-furnished"
3.29,352.285395763657,4,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
3.29,375.325157933854,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
3.29,199.275362318841,3,1,2,"yes","no","yes","no","no",0,"yes","furnished"
3.255,365.105908584169,2,1,1,"no","no","no","no","no",0,"no","unfurnished"
3.234,338.164251207729,4,1,2,"yes","no","yes","no","no",0,"no","unfurnished"
3.22,249.349684132293,2,1,1,"yes","no","no","no","yes",1,"no","unfurnished"
3.22,289.855072463768,3,1,2,"no","no","no","no","no",0,"no","furnished"
3.15,320.512820512821,1,1,1,"yes","no","no","no","no",0,"no","furnished"
3.15,325.157933853586,2,1,1,"no","no","yes","no","no",0,"no","semi-furnished"
3.15,153.288740245262,3,1,2,"no","no","yes","no","no",0,"no","unfurnished"
3.15,320.512820512821,3,1,2,"yes","no","yes","no","no",0,"no","semi-furnished"
3.15,285.117056856187,2,1,1,"yes","no","no","no","no",1,"no","unfurnished"
3.11885,222.779635823114,3,1,1,"yes","no","no","no","no",0,"yes","semi-furnished"
3.115,278.706800445931,3,1,1,"no","no","no","no","yes",0,"no","unfurnished"
3.115,325.157933853586,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
3.08,200.66889632107,3,1,2,"no","no","yes","no","no",0,"no","semi-furnished"
3.08,287.068004459309,2,1,1,"yes","yes","yes","no","no",0,"no","unfurnished"
3.01,287.068004459309,3,1,2,"no","no","no","no","no",0,"no","semi-furnished"
3.01,263.377926421405,2,1,1,"yes","no","no","no","no",0,"no","semi-furnished"
2.961,278.706800445931,2,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
2.94,250.836120401338,2,1,1,"no","no","no","no","no",0,"no","furnished"
2.66,185.804533630621,2,1,2,"yes","no","no","no","no",0,"no","semi-furnished"
