"nr","pealkiri","esitaja","liik","aasta","taktsagedus","elavus","tantsitavus","valjusus","publik","rõõmsus","pikkus","akustilisus","kõne","menukus"
1418,"Apache","The Shadows","adult standards",1987,134,45,60,-13,10,78,"174",1,3,53
1421,"Seven Wonders - 2017 Remaster","Fleetwood Mac","album rock",1987,119,63,71,-10,10,63,"222",3,3,63
1422,"Lessons In Love","Level 42","art rock",1987,113,84,71,-8,30,86,"246",16,4,62
1423,"Brilliant Disguise","Bruce Springsteen","classic rock",1987,126,73,70,-12,3,95,"255",15,3,57
1424,"It's a Sin - 2001 Remaster","Pet Shop Boys","art pop",1987,127,86,54,-6,25,29,"299",25,4,66
1425,"Bullet The Blue Sky","U2","irish rock",1987,153,64,36,-10,13,45,"272",1,4,55
1426,"Wonderful Life","Black","dance rock",1987,106,52,72,-12,21,82,"288",71,3,64
1428,"Is This Love - 2018 Remaster","Whitesnake","album rock",1987,180,76,26,-7,23,43,"284",6,4,58
1435,"Dreams","Fleetwood Mac","album rock",1988,120,34,82,-16,50,79,"254",14,4,59
1436,"Sara","Fleetwood Mac","album rock",1988,127,39,74,-17,9,59,"382",38,3,56
1442,"Like The Way I Do","Melissa Etheridge","other",1988,101,84,60,-13,6,64,"324",4,4,57
1443,"Little Lies","Fleetwood Mac","album rock",1988,125,69,63,-10,16,89,"218",12,3,59
1448,"When Love Comes To Town","U2","irish rock",1988,116,67,65,-11,13,59,"254",5,4,50
1450,"Pamela","TOTO","album rock",1988,98,41,58,-16,6,53,"310",13,3,53
1451,"Orinoco Flow","Enya","other",1988,115,31,69,-17,10,56,"266",80,3,57
1454,"Living Years","Mike & The Mechanics","album rock",1988,98,42,52,-13,7,31,"330",58,3,55
1458,"Angel Of Harlem","U2","irish rock",1988,103,69,52,-11,11,93,"229",10,3,59
1459,"Handle With Care","Traveling Wilburys","album rock",1988,115,77,68,-6,25,71,"200",11,3,63
1461,"Into Temptation","Crowded House","other",1988,84,37,45,-16,8,26,"274",48,3,49
1466,"Rockin' in the Free World","Neil Young","album rock",1989,132,88,49,-5,37,52,"282",0,3,65
1468,"I Want It All - Remastered 2011","Queen","glam rock",1989,92,84,41,-6,37,39,"242",3,5,55
1469,"Ik Kan Het Niet Alleen","De Dijk","dutch indie",1989,142,85,53,-12,30,91,"239",31,4,52
1472,"Lullaby","The Cure","dance rock",1989,94,56,72,-11,6,59,"250",19,3,53
1473,"The Best","Tina Turner","disco",1989,104,74,66,-10,12,75,"330",11,3,64
1475,"Need Your Love So Bad","Fleetwood Mac","album rock",1989,147,18,36,-19,10,25,"233",13,3,49
1477,"Personal Jesus - Original Seven Inch Version","Depeche Mode","dance rock",1989,130,68,64,-12,5,71,"225",1,4,61
1479,"Woman In Chains","Tears For Fears","art rock",1989,160,61,43,-8,6,37,"391",2,3,66
1481,"I Wish It Would Rain Down - 2016 Remaster","Phil Collins","other",1989,126,67,51,-5,31,36,"328",29,3,61
1486,"Black Velvet","Alannah Myles","other",1989,91,37,75,-10,11,47,"287",27,3,71
1489,"New York Minute","Don Henley","album rock",1989,132,29,55,-12,4,12,"395",33,3,55
1490,"Something Happened on the Way to Heaven - 2016 Remaster","Phil Collins","other",1989,115,88,66,-4,27,88,"292",18,3,57
1491,"Lovesong","The Cure","dance rock",1989,140,81,61,-8,22,82,"210",34,3,60
1492,"Monkey Gone to Heaven","Pixies","alternative rock",1989,116,39,65,-12,32,60,"177",2,3,61
1495,"If I Could Turn Back Time","Cher","dance pop",1989,108,57,66,-10,12,50,"240",24,3,72
1498,"Papa","Stef Bos","other",1990,120,32,74,-13,8,29,"193",72,3,57
1499,"Enjoy the Silence - Single Mix","Depeche Mode","dance rock",1990,113,81,64,-8,8,82,"257",16,3,65
1502,"Nothing Compares 2 U","Sinéad O'Connor","other",1990,120,57,51,-7,11,16,"280",4,3,71
1503,"Silent Lucidity - Remastered/2003","Queensrÿche","album rock",1990,140,63,46,-6,12,10,"348",5,3,61
1504,"Such a Shame","Talk Talk","art rock",1990,112,68,60,-11,30,71,"258",21,3,57
1505,"Hunger Strike","Temple Of The Dog","alternative metal",1990,138,57,37,-11,9,30,"246",2,3,59
1506,"Candy","Iggy Pop","alternative rock",1990,144,59,62,-11,5,65,"253",4,3,60
1508,"Don't Go Breaking My Heart","Elton John","glam rock",1990,131,86,74,-8,7,78,"271",18,4,69
1509,"Night Fever - From ""Saturday Night Fever"" Soundtrack","Bee Gees","adult standards",1990,109,51,74,-16,14,90,"210",2,3,54
1515,"Hard To Handle","The Black Crowes","album rock",1990,104,79,59,-4,31,96,"188",0,4,68
1517,"De Boer Is De Keerl","Normaal","other",1991,85,40,52,-13,8,63,"221",21,3,51
1524,"Who Wants To Live Forever - Remastered 2011","Queen","glam rock",1991,87,40,14,-9,12,4,"295",58,4,51
1527,"The Show Must Go On - 2011 Mix","Queen","glam rock",1991,83,69,31,-7,11,18,"278",41,3,58
1529,"Come As You Are","Nirvana","alternative rock",1991,120,82,50,-6,9,54,"219",0,4,72
1533,"The Unforgiven","Metallica","alternative metal",1991,139,60,54,-10,13,25,"387",1,3,65
1535,"Lithium","Nirvana","alternative rock",1991,123,66,68,-6,6,49,"257",0,4,68
1540,"Sad But True","Metallica","alternative metal",1991,89,85,63,-6,6,43,"325",0,3,63
1541,"Year of the Cat - 2001 Remaster","Al Stewart","album rock",1991,117,61,53,-10,12,53,"401",1,3,61
1543,"(Everything I Do) I Do It For You","Bryan Adams","album rock",1991,131,37,53,-13,6,25,"394",8,3,64
1546,"Heal the World","Michael Jackson","pop",1991,81,49,53,-8,10,10,"384",54,5,68
1548,"On Every Street","Dire Straits","album rock",1991,132,27,32,-11,17,15,"302",58,4,56
1550,"Four Seasons In One Day","Crowded House","other",1991,89,26,52,-17,9,49,"170",82,3,51
1551,"Walking in Memphis","Marc Cohn","other",1991,130,51,57,-9,30,33,"253",55,4,69
1554,"In Bloom - Nevermind Version","Nirvana","alternative rock",1991,157,88,44,-5,21,51,"255",0,6,64
1559,"On the Border - 2001 Remaster","Al Stewart","album rock",1991,98,64,48,-12,8,73,"202",6,3,49
1565,"Mysterious Ways","U2","irish rock",1991,100,66,67,-8,11,70,"244",0,3,63
1566,"We Don't Need Another Hero (Thunderdome)","Tina Turner","disco",1991,99,67,69,-6,12,71,"255",20,5,61
1567,"Calling Elvis","Dire Straits","album rock",1991,120,57,61,-12,16,39,"385",9,3,54
1569,"Fear of the Dark - 2015 Remaster","Iron Maiden","album rock",1992,110,87,31,-6,23,23,"438",0,6,55
1572,"Kayleigh","Marillion","album rock",1992,106,67,56,-7,9,60,"243",2,3,58
1575,"Nightswimming","R.E.M.","alternative rock",1992,114,39,57,-11,10,57,"258",80,3,62
1580,"Man On The Moon","R.E.M.","alternative rock",1992,119,70,67,-8,20,66,"314",42,3,67
1584,"Plush - 2017 Remaster","Stone Temple Pilots","alternative metal",1992,144,94,43,-5,14,47,"314",1,4,61
1585,"Eloise","Barry Ryan","other",1992,131,59,43,-12,36,46,"345",22,3,45
1587,"Drive","R.E.M.","alternative rock",1992,143,43,47,-12,23,24,"271",18,3,62
1589,"I've Got Dreams to Remember","Otis Redding","other",1992,142,28,39,-13,14,40,"196",50,3,49
1590,"Jump Around","House Of Pain","other",1992,107,71,85,-6,17,82,"215",1,8,74
1591,"Human Touch","Bruce Springsteen","classic rock",1992,115,52,65,-14,10,45,"389",0,3,58
1593,"In These Arms","Bon Jovi","other",1992,123,92,51,-3,21,46,"319",1,6,59
1595,"Find The River","R.E.M.","alternative rock",1992,145,44,42,-9,14,30,"230",22,3,58
1599,"Why","Annie Lennox","europop",1992,91,47,53,-9,13,12,"294",28,2,64
1600,"Rhythm Is A Dancer","SNAP!","other",1992,124,65,76,-15,9,86,"332",21,3,57
1601,"Keep The Faith","Bon Jovi","other",1992,118,97,57,-4,8,57,"347",0,5,58
1609,"I'd Do Anything For Love (But I Won't Do That) - Single Edit","Meat Loaf","album rock",1993,105,67,42,-6,41,30,"316",62,9,59
1611,"I Will Survive - Single Version","Gloria Gaynor","disco",1993,116,62,80,-13,32,64,"199",2,5,60
1613,"Disarm - Remastered","The Smashing Pumpkins","alternative metal",1993,130,42,53,-10,14,22,"197",14,3,62
1617,"In-A-Gadda-Da-Vida - Single Version","Iron Butterfly","art rock",1993,119,53,47,-10,18,77,"174",0,3,57
1619,"Mull Of Kintyre - 1993 Digital Remaster","Wings","album rock",1993,93,26,33,-15,12,42,"283",0,3,56
1622,"What's Love Got to Do with It","Tina Turner","disco",1993,98,41,85,-12,9,79,"227",22,7,69
1623,"Rearviewmirror (Remastered)","Pearl Jam","alternative rock",1993,159,96,37,-5,35,44,"283",0,7,58
1625,"Up Where We Belong","Joe Cocker","album rock",1993,139,43,57,-9,8,36,"233",60,3,54
1627,"Round Here","Counting Crows","alternative rock",1993,94,48,31,-9,8,19,"331",14,3,61
1634,"Lightning Crashes","Live","alternative metal",1994,90,43,39,-9,11,43,"326",24,4,64
1639,"High Hopes","Pink Floyd","album rock",1994,75,41,52,-13,35,28,"511",20,3,59
1643,"I Alone","Live","alternative metal",1994,90,82,40,-7,37,10,"231",0,5,62
1645,"Smooth Operator - Single Version","Sade","british soul",1994,119,58,73,-7,3,96,"259",24,3,66
1646,"Glory Box","Portishead","art pop",1994,120,43,51,-10,6,21,"309",18,4,67
1647,"Dromen Zijn Bedrog","Marco Borsato","dutch cabaret",1994,132,86,61,-9,26,64,"243",3,4,56
1651,"Live Forever - Remastered","Oasis","other",1994,84,79,10,-4,36,18,"277",0,4,55
1652,"Mmm Mmm Mmm Mmm","Crash Test Dummies","other",1994,93,57,58,-8,8,37,"235",25,2,57
1655,"Grace","Jeff Buckley","alternative rock",1994,128,87,55,-4,22,19,"322",3,4,59
1656,"Stil In Mij","Van Dik Hout","dutch cabaret",1995,99,65,59,-9,13,39,"245",22,3,58
1658,"Don't Look Back In Anger - Remastered","Oasis","other",1995,163,92,33,-4,13,34,"290",6,6,63
1660,"Earth Song","Michael Jackson","pop",1995,138,44,50,-8,9,14,"406",48,3,63
1661,"Street Spirit (Fade Out)","Radiohead","alternative rock",1995,138,45,49,-12,18,13,"254",31,3,62
1662,"Man in the Mirror","Michael Jackson","pop",1995,100,80,79,-6,11,27,"319",43,4,64
1664,"Beat It","Michael Jackson","pop",1995,139,80,76,-6,17,91,"258",3,4,60
1665,"Margherita","Marco Borsato","dutch cabaret",1995,119,25,54,-12,14,14,"250",52,4,52
1666,"Vivo per lei","Andrea Bocelli","adult standards",1995,136,46,53,-6,18,29,"266",70,3,64
1667,"Circle Of Life","Elton John","glam rock",1995,160,61,28,-8,11,16,"290",28,4,54
1668,"They Don't Care About Us","Michael Jackson","pop",1995,90,91,86,-6,32,73,"284",21,13,69
1669,"Champagne Supernova - Remastered","Oasis","other",1995,150,80,29,-5,36,12,"448",47,4,63
1670,"You Do Something To Me","Paul Weller","other",1995,73,34,44,-13,11,30,"219",48,3,58
1673,"Ik Leef Niet Meer Voor Jou","Marco Borsato","dutch cabaret",1995,150,82,55,-9,4,57,"217",2,5,60
1676,"Don't Speak","No Doubt","alternative rock",1995,76,71,52,-7,18,54,"264",25,4,67
1683,"Can You Feel The Love Tonight","Elton John","glam rock",1995,123,36,30,-9,10,15,"240",81,3,58
1684,"Dear Mama","2Pac","other",1995,84,54,77,-7,13,32,"280",37,10,72
1686,"Stranger in Moscow","Michael Jackson","pop",1995,130,47,80,-9,32,59,"344",25,4,58
1688,"Secret Garden","Bruce Springsteen","classic rock",1995,87,33,52,-14,12,12,"267",58,3,61
1694,"Fairground","Simply Red","british soul",1995,123,73,72,-6,8,62,"333",21,4,56
1696,"She - Tous les visages de l’amour","Charles Aznavour","other",1996,132,39,35,-10,15,36,"153",22,3,60
1698,"Jesus to a Child","George Michael","dance rock",1996,174,42,53,-12,8,19,"411",31,3,62
1700,"Jump","Van Halen","album rock",1996,130,82,55,-7,6,77,"240",7,3,57
1701,"Het Is Een Nacht... (Levensecht)","Guus Meeuwis","dutch pop",1996,138,62,63,-7,16,50,"225",54,3,58
1702,"Where the Wild Roses Grow - 2011 - Remaster","Nick Cave & The Bad Seeds","art rock",1996,155,47,34,-11,10,16,"237",38,3,59
1703,"Beautiful Noise","Neil Diamond","adult standards",1996,127,35,53,-15,15,73,"193",12,3,57
1704,"Yesterday When I Was Young","Charles Aznavour","other",1996,68,51,33,-9,37,29,"215",40,6,53
1705,"De Waarheid","Marco Borsato","dutch cabaret",1996,61,36,34,-11,33,9,"312",11,3,50
1706,"Wereld Zonder Jou","Marco Borsato","dutch cabaret",1996,121,36,57,-10,17,9,"236",51,3,55
1710,"You Have Been Loved","George Michael","dance rock",1996,137,24,61,-16,11,16,"331",24,3,53
1712,"No Diggity","Blackstreet","other",1996,89,65,87,-5,28,67,"305",30,29,76
1716,"A Long December","Counting Crows","alternative rock",1996,71,58,39,-7,22,38,"295",47,3,63
1717,"Novocaine For The Soul","Eels","alternative rock",1996,169,72,41,-8,8,31,"189",0,4,54
1720,"Zeg Me Dat Het Niet Zo Is","Frank Boeijen","dutch cabaret",1997,70,13,35,-14,17,29,"161",85,4,48
1721,"Du hast","Rammstein","alternative metal",1997,125,92,64,-6,33,72,"234",0,4,67
1729,"Engel","Rammstein","alternative metal",1997,96,66,64,-6,30,33,"264",1,3,60
1730,"k Heb Je Lief","Paul de Leeuw","dutch cabaret",1997,136,37,53,-12,9,22,"284",73,4,54
1732,"Firestarter","The Prodigy","other",1997,142,95,53,-5,16,38,"280",0,8,64
1733,"The Unforgiven II","Metallica","alternative metal",1997,133,88,49,-5,27,25,"396",0,4,55
1734,"Smack My Bitch Up","The Prodigy","other",1997,136,99,61,-5,11,23,"343",0,15,65
1741,"Beds Are Burning - Remastered","Midnight Oil","other",1997,119,50,75,-9,9,34,"258",1,4,63
1744,"Breathe","The Prodigy","other",1997,130,82,68,-6,4,32,"335",1,5,66
1750,"Songbird","Eva Cassidy","adult standards",1997,153,23,38,-12,13,15,"225",85,3,61
1752,"The Drugs Don't Work","The Verve","alternative rock",1997,77,52,44,-9,15,18,"305",18,3,64
1753,"Around the World","Daft Punk","other",1997,121,80,96,-5,9,84,"430",0,15,70
1756,"Als Ze Er Niet Is","De Dijk","dutch indie",1998,166,49,38,-12,11,21,"211",24,6,50
1758,"Whiskey In The Jar","Metallica","alternative metal",1998,133,97,51,-4,19,53,"305",0,4,61
1760,"The Whole of the Moon","The Waterboys","art rock",1998,106,85,54,-6,60,60,"299",7,3,59
1761,"Liefs Uit Londen","BLØF","dutch pop",1998,77,13,44,-19,18,13,"239",81,4,51
1763,"New Year's Day","U2","irish rock",1998,133,80,52,-6,61,63,"257",0,3,58
1766,"Toen Ik Je Zag - Single Version","Hero","pop",1998,81,20,37,-14,30,14,"205",71,4,47
1769,"A Different Corner","George Michael","dance rock",1998,99,29,27,-10,11,15,"244",86,3,58
1772,"Father Figure","George Michael","dance rock",1998,102,39,48,-11,8,25,"340",23,3,51
1773,"Niet Of Nooit Geweest","Acda en de Munnik","dutch cabaret",1998,122,51,48,-10,17,51,"242",38,4,54
1775,"De Bestemming","Marco Borsato","dutch cabaret",1998,109,50,27,-9,10,13,"266",28,3,50
1780,"Killer / Papa Was a Rollin' Stone","George Michael","dance rock",1998,122,98,71,-7,76,58,"255",3,5,51
1781,"I Knew You Were Waiting (For Me)","George Michael","dance rock",1998,108,84,72,-5,24,68,"238",26,5,63
1787,"As","George Michael","dance rock",1998,93,74,67,-8,20,77,"282",14,19,61
1788,"Pure Morning","Placebo","alternative rock",1998,81,90,39,-7,11,20,"255",4,7,60
1790,"Ik Heb Je Lief","Stef Bos","other",1998,131,48,30,-12,73,24,"231",77,6,44
1791,"Pretty Fly (For A White Guy)","The Offspring","alternative metal",1998,143,90,72,-4,7,96,"189",9,10,72
1792,"I Can't Make You Love Me","George Michael","dance rock",1998,116,19,56,-13,11,12,"321",73,3,53
1796,"Kissing a Fool","George Michael","dance rock",1998,117,27,39,-14,11,17,"275",17,3,56
1797,"Hijo de la Luna","Mecano","other",1998,179,54,45,-7,6,61,"266",68,3,62
1800,"Tears in Heaven","Eric Clapton","album rock",1999,154,24,50,-12,13,31,"272",84,3,61
1802,"Harder Dan Ik Hebben Kan","BLØF","dutch pop",1999,90,40,62,-10,15,35,"254",9,2,57
1807,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version","Phil Collins","other",1999,97,74,57,-6,9,66,"258",6,3,62
1812,"Porcelain","Moby","other",1999,95,64,30,-8,25,33,"241",0,3,54
1813,"Unintended","Muse","modern rock",1999,139,28,49,-12,11,16,"237",65,3,61
1815,"The Dolphin's Cry","Live","alternative metal",1999,150,79,34,-6,14,43,"264",0,4,56
1827,"Hey Boy Hey Girl","The Chemical Brothers","other",1999,127,92,63,-5,11,36,"290",12,5,65
1831,"Stand by Me","Ben E. King","adult standards",1962,118,31,65,-9,7,61,"180",57,4,77
1833,"Ring of Fire","Johnny Cash","other",1963,104,59,66,-8,35,78,"158",62,3,71
1837,"Are You Lonesome Tonight","Elvis Presley","adult standards",1963,66,9,36,-18,11,19,"187",92,5,59
1841,"House Of The Rising Sun","The Animals","album rock",1964,117,58,30,-7,10,23,"271",0,3,69
1843,"The Times They Are A-Changin'","Bob Dylan","album rock",1964,172,40,39,-8,8,59,"192",89,3,69
1845,"A Hard Day's Night - Remastered 2009","The Beatles","british invasion",1964,139,81,59,-6,10,80,"154",14,4,69
1847,"Eight Days A Week - Remastered 2009","The Beatles","british invasion",1964,138,58,65,-8,12,74,"164",41,4,66
1853,"Help! - Remastered 2009","The Beatles","british invasion",1965,95,73,53,-8,10,76,"140",19,3,73
1855,"Michelle - Remastered 2009","The Beatles","british invasion",1965,117,29,58,-13,11,67,"162",65,3,67
1858,"In My Life - Remastered 2009","The Beatles","british invasion",1965,103,44,69,-11,11,44,"146",45,3,74
1860,"It Was A Very Good Year","Frank Sinatra","adult standards",1965,80,14,22,-15,11,13,"267",86,3,62
1863,"Mr. Tambourine Man","The Byrds","art rock",1965,120,47,46,-10,44,64,"149",51,3,62
1865,"God Only Knows - Remastered","The Beach Boys","other",1966,117,49,52,-8,6,48,"173",25,3,72
1870,"Jumpin' Jack Flash - Mono","The Rolling Stones","album rock",1966,137,90,60,-7,7,62,"219",4,5,65
1871,"Scarborough Fair / Canticle","Simon & Garfunkel","classic rock",1966,129,25,34,-16,11,30,"190",65,3,63
1873,"Homeward Bound","Simon & Garfunkel","classic rock",1966,93,38,49,-12,10,53,"150",83,3,65
1874,"Under My Thumb","The Rolling Stones","album rock",1966,127,49,73,-14,9,80,"222",30,4,64
1877,"Sunny Afternoon - Mono Mix","The Kinks","album rock",1966,125,47,60,-8,6,49,"211",10,3,67
1879,"Monday, Monday - Single Version","The Mamas & The Papas","adult standards",1966,110,46,49,-9,57,71,"208",74,3,62
1880,"For No One - Remastered 2009","The Beatles","british invasion",1966,81,35,48,-10,12,71,"120",78,3,63
1881,"It's A Man's, Man's, Man's World","James Brown & The Famous Flames","other",1966,81,24,54,-17,13,57,"167",69,4,63
1882,"Try a Little Tenderness","Otis Redding","other",1966,103,13,59,-15,26,7,"202",19,6,64
1884,"Nights In White Satin - Single Version / Mono Mix","The Moody Blues","album rock",1967,85,48,20,-5,7,17,"269",47,3,68
1885,"The End","The Doors","album rock",1967,106,30,35,-12,14,3,"703",16,3,61
1888,"Respect","Aretha Franklin","adult standards",1967,115,56,81,-5,5,97,"148",16,4,73
1889,"White Rabbit","Jefferson Airplane","album rock",1967,107,29,55,-13,9,32,"151",49,3,69
1892,"Hey Joe","Jimi Hendrix","album rock",1967,169,77,35,-6,2,53,"210",1,4,71
1893,"Good Vibrations - Remastered","The Beach Boys","other",1967,133,47,40,-8,11,39,"219",33,3,71
1894,"Light My Fire","The Doors","album rock",1967,125,73,41,-6,9,44,"430",37,3,72
1895,"Strawberry Fields Forever - Remastered 2009","The Beatles","british invasion",1967,98,50,39,-12,7,29,"247",34,18,70
1896,"So Long, Marianne","Leonard Cohen","other",1967,95,40,54,-11,10,23,"341",70,3,62
1897,"Little Wing","Jimi Hendrix","album rock",1967,71,53,52,-8,5,43,"146",18,8,69
1898,"The Fool On The Hill - Remastered 2009","The Beatles","british invasion",1967,144,26,36,-11,11,49,"179",91,3,58
1899,"People Are Strange","The Doors","album rock",1967,119,47,70,-9,32,76,"130",69,4,70
1900,"The Wind Cries Mary","Jimi Hendrix","album rock",1967,80,50,50,-11,20,34,"201",35,5,63
1903,"Purple Haze","Jimi Hendrix","album rock",1967,109,91,53,-5,7,49,"171",1,8,72
1904,"Ruby Tuesday","The Rolling Stones","album rock",1967,105,55,52,-11,17,52,"196",83,3,63
1905,"All You Need Is Love - Remastered 2009","The Beatles","british invasion",1967,103,48,40,-8,16,65,"230",35,3,68
1907,"When I'm Sixty Four - Remastered 2009","The Beatles","british invasion",1967,140,24,70,-13,9,66,"158",63,5,65
1913,"She's Leaving Home - Remastered 2009","The Beatles","british invasion",1967,128,21,38,-12,11,39,"215",94,3,63
1915,"Waterloo Sunset - Mono Mix","The Kinks","album rock",1967,108,69,51,-7,17,42,"194",16,2,66
1918,"Somebody to Love","Jefferson Airplane","album rock",1967,132,58,50,-9,32,65,"175",41,3,69
1919,"Green Green Grass Of Home","Tom Jones","adult standards",1967,95,41,54,-13,10,82,"185",16,3,62
1922,"(Sittin' On) the Dock of the Bay","Otis Redding","other",1968,104,37,77,-11,8,54,"164",68,3,73
1924,"I Put A Spell On You","Creedence Clearwater Revival","album rock",1968,100,73,39,-8,10,62,"272",0,3,60
1925,"While My Guitar Gently Weeps - Remastered 2009","The Beatles","british invasion",1968,115,65,45,-9,17,70,"285",2,3,70
1929,"(You Make Me Feel Like) A Natural Woman","Aretha Franklin","adult standards",1968,111,32,65,-9,19,28,"167",21,3,69
1934,"The Weight - Remastered","The Band","album rock",1968,144,55,63,-9,10,52,"274",37,5,72
1937,"Suzie Q","Creedence Clearwater Revival","album rock",1968,130,62,44,-11,17,70,"517",6,3,56
1940,"Massachussetts","Bee Gees","adult standards",1968,102,44,48,-14,6,42,"148",1,3,57
1942,"I Started A Joke","Bee Gees","adult standards",1968,145,46,31,-9,13,43,"188",16,3,66
1944,"I'd Rather Go Blind","Etta James","adult standards",1968,83,43,48,-6,15,61,"157",69,2,67
1945,"Daydream Believer","The Monkees","other",1968,126,49,51,-10,11,65,"180",26,3,69
1946,"Back In The U.S.S.R. - Remastered 2009","The Beatles","british invasion",1968,142,97,48,-7,6,49,"163",7,9,66
1958,"With A Little Help From My Friends","Joe Cocker","album rock",1969,145,43,31,-11,10,31,"312",29,6,69
1959,"My Way","Frank Sinatra","adult standards",1969,75,38,40,-7,12,23,"277",70,3,73
1962,"Albatross - 2018 Remaster","Fleetwood Mac","album rock",1969,136,6,32,-22,14,26,"191",83,4,50
1965,"Son of a Preacher Man","Dusty Springfield","adult standards",1969,182,50,40,-11,13,82,"149",39,8,61
1966,"Pinball Wizard","The Who","album rock",1969,124,72,54,-9,26,47,"181",2,4,69
1968,"Proud Mary","Creedence Clearwater Revival","album rock",1969,121,39,72,-17,5,79,"187",16,3,60
1971,"Born On The Bayou","Creedence Clearwater Revival","album rock",1969,117,39,68,-16,11,55,"315",7,5,59
1973,"The Thrill Is Gone","B.B. King","other",1969,91,46,55,-9,10,54,"325",34,3,60
1974,"Dazed and Confused","Led Zeppelin","album rock",1969,87,55,27,-10,10,43,"386",4,5,63
1976,"Streets of London","Ralph McTell","other",1969,156,30,40,-15,10,19,"249",63,3,57
1977,"Down On The Corner","Creedence Clearwater Revival","album rock",1969,108,54,86,-9,7,87,"166",58,8,73
1980,"Touch Me","The Doors","album rock",1969,109,90,43,-5,12,77,"190",41,7,68
1985,"Suite: Judy Blue Eyes - Remastered","Crosby, Stills & Nash","album rock",1969,154,36,45,-13,20,30,"444",47,4,67
1987,"Jailhouse Rock","Elvis Presley","adult standards",1958,167,58,65,-10,7,92,"146",41,8,73
1988,"My Baby Just Cares for Me - 2013 Remastered Version","Nina Simone","adult standards",1958,119,24,75,-15,9,43,"216",83,12,68
1993,"Take Five","The Dave Brubeck Quartet","other",1959,174,26,45,-13,7,60,"324",54,4,65
